[1.429s][info][gc,start    ] GC(4) Pause Young (Normal) (G1 Evacuation Pause)
[1.429s][info][gc,task     ] GC(4) Using 12 workers of 33 for evacuation
[1.444s][info][gc,phases   ] GC(4)   Pre Evacuate Collection Set: 0.1ms
[1.444s][info][gc,phases   ] GC(4)   Merge Heap Roots: 0.1ms
[1.444s][info][gc,phases   ] GC(4)   Evacuate Collection Set: 14.5ms
[1.444s][info][gc,phases   ] GC(4)   Post Evacuate Collection Set: 0.2ms
[1.444s][info][gc,phases   ] GC(4)   Other: 0.1ms
[1.444s][info][gc,heap     ] GC(4) Eden regions: 63->0(93)
[1.444s][info][gc,heap     ] GC(4) Survivor regions: 10->10(10)
[1.444s][info][gc,heap     ] GC(4) Old regions: 37->54
[1.444s][info][gc,heap     ] GC(4) Archive regions: 0->0
[1.444s][info][gc,heap     ] GC(4) Humongous regions: 2->2
[1.444s][info][gc,metaspace] GC(4) Metaspace: 5149K(5312K)->5149K(5312K) NonClass: 4728K(4800K)->4728K(4800K) Class: 420K(512K)->420K(512K)
[1.444s][info][gc          ] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 111M->65M(512M) 15.431ms
[1.444s][info][gc,cpu      ] GC(4) User=0.19s Sys=0.00s Real=0.01s
[1.657s][info][gc,start    ] GC(5) Pause Young (Normal) (G1 Evacuation Pause)
[1.657s][info][gc,task     ] GC(5) Using 12 workers of 33 for evacuation
[1.678s][info][gc,phases   ] GC(5)   Pre Evacuate Collection Set: 0.1ms
[1.678s][info][gc,phases   ] GC(5)   Merge Heap Roots: 0.2ms
[1.678s][info][gc,phases   ] GC(5)   Evacuate Collection Set: 20.0ms
[1.678s][info][gc,phases   ] GC(5)   Post Evacuate Collection Set: 0.3ms
[1.678s][info][gc,phases   ] GC(5)   Other: 0.2ms
[1.678s][info][gc,heap     ] GC(5) Eden regions: 89->0(114)
[1.678s][info][gc,heap     ] GC(5) Survivor regions: 10->13(13)
[1.678s][info][gc,heap     ] GC(5) Old regions: 54->75
[1.678s][info][gc,heap     ] GC(5) Archive regions: 0->0
[1.678s][info][gc,heap     ] GC(5) Humongous regions: 4->4
[1.678s][info][gc,metaspace] GC(5) Metaspace: 5149K(5312K)->5149K(5312K) NonClass: 4729K(4800K)->4729K(4800K) Class: 420K(512K)->420K(512K)
[1.678s][info][gc          ] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 156M->91M(512M) 21.284ms
[1.678s][info][gc,cpu      ] GC(5) User=0.17s Sys=0.02s Real=0.02s
[1.930s][info][gc,start    ] GC(6) Pause Young (Normal) (G1 Evacuation Pause)
[1.930s][info][gc,task     ] GC(6) Using 12 workers of 33 for evacuation
[1.953s][info][gc,phases   ] GC(6)   Pre Evacuate Collection Set: 0.1ms
[1.954s][info][gc,phases   ] GC(6)   Merge Heap Roots: 0.2ms
[1.954s][info][gc,phases   ] GC(6)   Evacuate Collection Set: 22.7ms
[1.954s][info][gc,phases   ] GC(6)   Post Evacuate Collection Set: 0.3ms
[1.954s][info][gc,phases   ] GC(6)   Other: 0.1ms
[1.954s][info][gc,heap     ] GC(6) Eden regions: 104->0(145)
[1.954s][info][gc,heap     ] GC(6) Survivor regions: 13->15(15)
[1.954s][info][gc,heap     ] GC(6) Old regions: 75->101
[1.954s][info][gc,heap     ] GC(6) Archive regions: 0->0
[1.954s][info][gc,heap     ] GC(6) Humongous regions: 5->5
[1.954s][info][gc,metaspace] GC(6) Metaspace: 5160K(5312K)->5160K(5312K) NonClass: 4740K(4800K)->4740K(4800K) Class: 420K(512K)->420K(512K)
[1.954s][info][gc          ] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 196M->120M(512M) 23.779ms
[1.954s][info][gc,cpu      ] GC(6) User=0.20s Sys=0.00s Real=0.03s
[2.542s][info][gc,start    ] GC(7) Pause Young (Normal) (G1 Evacuation Pause)
[2.542s][info][gc,task     ] GC(7) Using 12 workers of 33 for evacuation
[2.571s][info][gc,phases   ] GC(7)   Pre Evacuate Collection Set: 0.1ms
[2.571s][info][gc,phases   ] GC(7)   Merge Heap Roots: 0.2ms
[2.571s][info][gc,phases   ] GC(7)   Evacuate Collection Set: 28.5ms
[2.571s][info][gc,phases   ] GC(7)   Post Evacuate Collection Set: 0.3ms
[2.571s][info][gc,phases   ] GC(7)   Other: 0.2ms
[2.571s][info][gc,heap     ] GC(7) Eden regions: 132->0(163)
[2.571s][info][gc,heap     ] GC(7) Survivor regions: 15->19(19)
[2.571s][info][gc,heap     ] GC(7) Old regions: 101->136
[2.571s][info][gc,heap     ] GC(7) Archive regions: 0->0
[2.571s][info][gc,heap     ] GC(7) Humongous regions: 8->8
[2.571s][info][gc,metaspace] GC(7) Metaspace: 5222K(5376K)->5222K(5376K) NonClass: 4801K(4864K)->4801K(4864K) Class: 421K(512K)->421K(512K)
[2.571s][info][gc          ] GC(7) Pause Young (Normal) (G1 Evacuation Pause) 255M->162M(512M) 29.602ms
[2.571s][info][gc,cpu      ] GC(7) User=0.39s Sys=0.02s Real=0.03s
[3.091s][info][gc,start    ] GC(8) Pause Young (Normal) (G1 Evacuation Pause)
[3.091s][info][gc,task     ] GC(8) Using 12 workers of 33 for evacuation
[3.107s][info][gc,phases   ] GC(8)   Pre Evacuate Collection Set: 0.1ms
[3.108s][info][gc,phases   ] GC(8)   Merge Heap Roots: 0.2ms
[3.108s][info][gc,phases   ] GC(8)   Evacuate Collection Set: 15.5ms
[3.108s][info][gc,phases   ] GC(8)   Post Evacuate Collection Set: 0.3ms
[3.108s][info][gc,phases   ] GC(8)   Other: 0.2ms
[3.108s][info][gc,heap     ] GC(8) Eden regions: 157->0(185)
[3.108s][info][gc,heap     ] GC(8) Survivor regions: 19->11(22)
[3.108s][info][gc,heap     ] GC(8) Old regions: 136->159
[3.108s][info][gc,heap     ] GC(8) Archive regions: 0->0
[3.108s][info][gc,heap     ] GC(8) Humongous regions: 10->10
[3.108s][info][gc,metaspace] GC(8) Metaspace: 5394K(5568K)->5394K(5568K) NonClass: 4968K(5056K)->4968K(5056K) Class: 425K(512K)->425K(512K)
[3.108s][info][gc          ] GC(8) Pause Young (Normal) (G1 Evacuation Pause) 321M->179M(512M) 16.669ms
[3.108s][info][gc,cpu      ] GC(8) User=0.30s Sys=0.08s Real=0.03s
[3.602s][info][gc,start    ] GC(9) Pause Young (Normal) (G1 Evacuation Pause)
[3.602s][info][gc,task     ] GC(9) Using 12 workers of 33 for evacuation
[3.619s][info][gc,phases   ] GC(9)   Pre Evacuate Collection Set: 0.1ms
[3.619s][info][gc,phases   ] GC(9)   Merge Heap Roots: 0.1ms
[3.619s][info][gc,phases   ] GC(9)   Evacuate Collection Set: 16.1ms
[3.619s][info][gc,phases   ] GC(9)   Post Evacuate Collection Set: 0.7ms
[3.619s][info][gc,phases   ] GC(9)   Other: 0.2ms
[3.619s][info][gc,heap     ] GC(9) Eden regions: 185->0(231)
[3.620s][info][gc,heap     ] GC(9) Survivor regions: 11->24(25)
[3.620s][info][gc,heap     ] GC(9) Old regions: 159->159
[3.620s][info][gc,heap     ] GC(9) Archive regions: 0->0
[3.620s][info][gc,heap     ] GC(9) Humongous regions: 16->16
[3.620s][info][gc,metaspace] GC(9) Metaspace: 5406K(5632K)->5406K(5632K) NonClass: 4980K(5120K)->4980K(5120K) Class: 425K(512K)->425K(512K)
[3.620s][info][gc          ] GC(9) Pause Young (Normal) (G1 Evacuation Pause) 370M->197M(512M) 17.688ms
[3.620s][info][gc,cpu      ] GC(9) User=0.19s Sys=0.00s Real=0.02s
[4.068s][info][gc,start    ] GC(10) Pause Young (Normal) (G1 Evacuation Pause)
[4.068s][info][gc,task     ] GC(10) Using 12 workers of 33 for evacuation
[4.088s][info][gc,phases   ] GC(10)   Pre Evacuate Collection Set: 0.1ms
[4.088s][info][gc,phases   ] GC(10)   Merge Heap Roots: 0.1ms
[4.088s][info][gc,phases   ] GC(10)   Evacuate Collection Set: 18.6ms
[4.088s][info][gc,phases   ] GC(10)   Post Evacuate Collection Set: 0.3ms
[4.088s][info][gc,phases   ] GC(10)   Other: 0.2ms
[4.088s][info][gc,heap     ] GC(10) Eden regions: 231->0(240)
[4.088s][info][gc,heap     ] GC(10) Survivor regions: 24->21(32)
[4.088s][info][gc,heap     ] GC(10) Old regions: 159->169
[4.088s][info][gc,heap     ] GC(10) Archive regions: 0->0
[4.088s][info][gc,heap     ] GC(10) Humongous regions: 16->16
[4.088s][info][gc,metaspace] GC(10) Metaspace: 5406K(5632K)->5406K(5632K) NonClass: 4980K(5120K)->4980K(5120K) Class: 425K(512K)->425K(512K)
[4.088s][info][gc          ] GC(10) Pause Young (Normal) (G1 Evacuation Pause) 428M->204M(512M) 19.865ms
[4.088s][info][gc,cpu      ] GC(10) User=0.14s Sys=0.05s Real=0.02s
[4.620s][info][gc,start    ] GC(11) Pause Young (Normal) (G1 Evacuation Pause)
[4.620s][info][gc,task     ] GC(11) Using 12 workers of 33 for evacuation
[4.640s][info][gc,phases   ] GC(11)   Pre Evacuate Collection Set: 0.1ms
