[0.015s][info][gc,init] CardTable entry size: 512
[0.016s][info][gc     ] Using G1
[0.038s][info][gc,init] Version: 20+36-2344 (release)
[0.038s][info][gc,init] CPUs: 48 total, 48 available
[0.038s][info][gc,init] Memory: 382G
[0.038s][info][gc,init] Large Page Support: Disabled
[0.038s][info][gc,init] NUMA Support: Disabled
[0.038s][info][gc,init] Compressed Oops: Enabled (32-bit)
[0.038s][info][gc,init] Heap Region Size: 1M
[0.038s][info][gc,init] Heap Min Capacity: 8M
[0.038s][info][gc,init] Heap Initial Capacity: 2G
[0.038s][info][gc,init] Heap Max Capacity: 2G
[0.038s][info][gc,init] Pre-touch: Disabled
[0.047s][info][gc,init] Parallel Workers: 33
[0.047s][info][gc,init] Concurrent Workers: 8
[0.047s][info][gc,init] Concurrent Refinement Workers: 33
[0.047s][info][gc,init] Periodic GC: Disabled
[0.048s][info][gc,metaspace] CDS archive(s) mapped at: [0x0000000800000000-0x0000000800c60000-0x0000000800c60000), size 12976128, SharedBaseAddress: 0x0000000800000000, ArchiveRelocationMode: 0.
[0.048s][info][gc,metaspace] Compressed class space mapped at: 0x0000000801000000-0x0000000841000000, reserved size: 1073741824
[0.048s][info][gc,metaspace] Narrow klass base: 0x0000000800000000, Narrow klass shift: 0, Narrow klass range: 0x100000000
[1.029s][info][gc,start    ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[1.031s][info][gc,task     ] GC(0) Using 33 workers of 33 for evacuation
[1.055s][info][gc,phases   ] GC(0)   Pre Evacuate Collection Set: 0.5ms
[1.055s][info][gc,phases   ] GC(0)   Merge Heap Roots: 0.3ms
[1.055s][info][gc,phases   ] GC(0)   Evacuate Collection Set: 21.8ms
[1.055s][info][gc,phases   ] GC(0)   Post Evacuate Collection Set: 1.0ms
[1.055s][info][gc,phases   ] GC(0)   Other: 2.2ms
[1.055s][info][gc,heap     ] GC(0) Eden regions: 102->0(89)
[1.055s][info][gc,heap     ] GC(0) Survivor regions: 0->13(13)
[1.055s][info][gc,heap     ] GC(0) Old regions: 0->13
[1.055s][info][gc,heap     ] GC(0) Archive regions: 0->0
[1.055s][info][gc,heap     ] GC(0) Humongous regions: 1->1
[1.055s][info][gc,metaspace] GC(0) Metaspace: 5137K(5312K)->5137K(5312K) NonClass: 4716K(4800K)->4716K(4800K) Class: 420K(512K)->420K(512K)
[1.056s][info][gc          ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 103M->26M(2048M) 26.613ms
[1.056s][info][gc,cpu      ] GC(0) User=0.19s Sys=0.33s Real=0.01s
[1.281s][info][gc,start    ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[1.281s][info][gc,task     ] GC(1) Using 33 workers of 33 for evacuation
[1.301s][info][gc,phases   ] GC(1)   Pre Evacuate Collection Set: 0.3ms
[1.301s][info][gc,phases   ] GC(1)   Merge Heap Roots: 0.3ms
[1.301s][info][gc,phases   ] GC(1)   Evacuate Collection Set: 18.3ms
[1.301s][info][gc,phases   ] GC(1)   Post Evacuate Collection Set: 0.7ms
[1.301s][info][gc,phases   ] GC(1)   Other: 0.1ms
[1.301s][info][gc,heap     ] GC(1) Eden regions: 89->0(89)
[1.301s][info][gc,heap     ] GC(1) Survivor regions: 13->13(13)
[1.301s][info][gc,heap     ] GC(1) Old regions: 13->37
[1.301s][info][gc,heap     ] GC(1) Archive regions: 0->0
[1.301s][info][gc,heap     ] GC(1) Humongous regions: 2->2
[1.301s][info][gc,metaspace] GC(1) Metaspace: 5149K(5312K)->5149K(5312K) NonClass: 4728K(4800K)->4728K(4800K) Class: 420K(512K)->420K(512K)
[1.301s][info][gc          ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 116M->51M(2048M) 20.119ms
[1.301s][info][gc,cpu      ] GC(1) User=0.22s Sys=0.30s Real=0.01s
[1.512s][info][gc,start    ] GC(2) Pause Young (Normal) (G1 Evacuation Pause)
[1.512s][info][gc,task     ] GC(2) Using 33 workers of 33 for evacuation
[1.530s][info][gc,phases   ] GC(2)   Pre Evacuate Collection Set: 0.3ms
[1.530s][info][gc,phases   ] GC(2)   Merge Heap Roots: 0.2ms
[1.530s][info][gc,phases   ] GC(2)   Evacuate Collection Set: 16.3ms
[1.530s][info][gc,phases   ] GC(2)   Post Evacuate Collection Set: 0.6ms
[1.530s][info][gc,phases   ] GC(2)   Other: 0.2ms
[1.530s][info][gc,heap     ] GC(2) Eden regions: 89->0(89)
[1.530s][info][gc,heap     ] GC(2) Survivor regions: 13->13(13)
[1.530s][info][gc,heap     ] GC(2) Old regions: 37->61
[1.530s][info][gc,heap     ] GC(2) Archive regions: 0->0
[1.530s][info][gc,heap     ] GC(2) Humongous regions: 4->4
[1.530s][info][gc,metaspace] GC(2) Metaspace: 5149K(5312K)->5149K(5312K) NonClass: 4728K(4800K)->4728K(4800K) Class: 420K(512K)->420K(512K)
[1.530s][info][gc          ] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 142M->77M(2048M) 18.195ms
[1.530s][info][gc,cpu      ] GC(2) User=0.31s Sys=0.22s Real=0.02s
[1.748s][info][gc,start    ] GC(3) Pause Young (Normal) (G1 Evacuation Pause)
[1.748s][info][gc,task     ] GC(3) Using 33 workers of 33 for evacuation
[1.765s][info][gc,phases   ] GC(3)   Pre Evacuate Collection Set: 0.3ms
[1.765s][info][gc,phases   ] GC(3)   Merge Heap Roots: 0.2ms
[1.765s][info][gc,phases   ] GC(3)   Evacuate Collection Set: 16.2ms
[1.765s][info][gc,phases   ] GC(3)   Post Evacuate Collection Set: 0.4ms
[1.765s][info][gc,phases   ] GC(3)   Other: 0.1ms
[1.765s][info][gc,heap     ] GC(3) Eden regions: 89->0(89)
[1.765s][info][gc,heap     ] GC(3) Survivor regions: 13->13(13)
[1.765s][info][gc,heap     ] GC(3) Old regions: 61->85
[1.766s][info][gc,heap     ] GC(3) Archive regions: 0->0
[1.766s][info][gc,heap     ] GC(3) Humongous regions: 4->4
[1.766s][info][gc,metaspace] GC(3) Metaspace: 5150K(5312K)->5150K(5312K) NonClass: 4729K(4800K)->4729K(4800K) Class: 420K(512K)->420K(512K)
[1.766s][info][gc          ] GC(3) Pause Young (Normal) (G1 Evacuation Pause) 166M->101M(2048M) 17.687ms
[1.766s][info][gc,cpu      ] GC(3) User=0.28s Sys=0.25s Real=0.02s
[1.974s][info][gc,start    ] GC(4) Pause Young (Normal) (G1 Evacuation Pause)
[1.974s][info][gc,task     ] GC(4) Using 33 workers of 33 for evacuation
[1.990s][info][gc,phases   ] GC(4)   Pre Evacuate Collection Set: 0.3ms
[1.990s][info][gc,phases   ] GC(4)   Merge Heap Roots: 0.2ms
[1.990s][info][gc,phases   ] GC(4)   Evacuate Collection Set: 14.7ms
[1.990s][info][gc,phases   ] GC(4)   Post Evacuate Collection Set: 0.6ms
[1.990s][info][gc,phases   ] GC(4)   Other: 0.2ms
[1.990s][info][gc,heap     ] GC(4) Eden regions: 89->0(89)
[1.990s][info][gc,heap     ] GC(4) Survivor regions: 13->13(13)
[1.990s][info][gc,heap     ] GC(4) Old regions: 85->109
[1.990s][info][gc,heap     ] GC(4) Archive regions: 0->0
[1.990s][info][gc,heap     ] GC(4) Humongous regions: 8->8
[1.990s][info][gc,metaspace] GC(4) Metaspace: 5161K(5312K)->5161K(5312K) NonClass: 4740K(4800K)->4740K(4800K) Class: 420K(512K)->420K(512K)
[1.990s][info][gc          ] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 194M->129M(2048M) 16.507ms
[1.990s][info][gc,cpu      ] GC(4) User=0.28s Sys=0.23s Real=0.02s
[2.502s][info][gc,start    ] GC(5) Pause Young (Normal) (G1 Evacuation Pause)
[2.502s][info][gc,task     ] GC(5) Using 33 workers of 33 for evacuation
[2.523s][info][gc,phases   ] GC(5)   Pre Evacuate Collection Set: 0.3ms
[2.523s][info][gc,phases   ] GC(5)   Merge Heap Roots: 0.2ms
[2.523s][info][gc,phases   ] GC(5)   Evacuate Collection Set: 19.2ms
[2.523s][info][gc,phases   ] GC(5)   Post Evacuate Collection Set: 0.7ms
[2.523s][info][gc,phases   ] GC(5)   Other: 0.2ms
[2.523s][info][gc,heap     ] GC(5) Eden regions: 96->0(129)
[2.523s][info][gc,heap     ] GC(5) Survivor regions: 13->14(14)
[2.523s][info][gc,heap     ] GC(5) Old regions: 109->138
[2.523s][info][gc,heap     ] GC(5) Archive regions: 0->0
[2.523s][info][gc,heap     ] GC(5) Humongous regions: 8->8
[2.523s][info][gc,metaspace] GC(5) Metaspace: 5222K(5376K)->5222K(5376K) NonClass: 4801K(4864K)->4801K(4864K) Class: 421K(512K)->421K(512K)
[2.523s][info][gc          ] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 225M->159M(2048M) 20.945ms
[2.523s][info][gc,cpu      ] GC(5) User=0.30s Sys=0.23s Real=0.01s
[3.039s][info][gc,start    ] GC(6) Pause Young (Normal) (G1 Evacuation Pause)
[3.039s][info][gc,task     ] GC(6) Using 33 workers of 33 for evacuation
[3.055s][info][gc,phases   ] GC(6)   Pre Evacuate Collection Set: 0.3ms
[3.055s][info][gc,phases   ] GC(6)   Merge Heap Roots: 0.2ms
[3.055s][info][gc,phases   ] GC(6)   Evacuate Collection Set: 14.3ms
[3.055s][info][gc,phases   ] GC(6)   Post Evacuate Collection Set: 0.6ms
[3.055s][info][gc,phases   ] GC(6)   Other: 0.1ms
[3.055s][info][gc,heap     ] GC(6) Eden regions: 132->0(149)
[3.055s][info][gc,heap     ] GC(6) Survivor regions: 14->14(19)
[3.055s][info][gc,heap     ] GC(6) Old regions: 138->154
[3.055s][info][gc,heap     ] GC(6) Archive regions: 0->0
[3.055s][info][gc,heap     ] GC(6) Humongous regions: 10->10
[3.055s][info][gc,metaspace] GC(6) Metaspace: 5395K(5632K)->5395K(5632K) NonClass: 4968K(5120K)->4968K(5120K) Class: 426K(512K)->426K(512K)
[3.055s][info][gc          ] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 293M->176M(2048M) 15.925ms
[3.055s][info][gc,cpu      ] GC(6) User=0.30s Sys=0.27s Real=0.02s
[3.402s][info][gc,start    ] GC(7) Pause Young (Normal) (G1 Evacuation Pause)
[3.403s][info][gc,task     ] GC(7) Using 33 workers of 33 for evacuation
[3.416s][info][gc,phases   ] GC(7)   Pre Evacuate Collection Set: 0.3ms
[3.416s][info][gc,phases   ] GC(7)   Merge Heap Roots: 0.2ms
[3.416s][info][gc,phases   ] GC(7)   Evacuate Collection Set: 12.4ms
[3.416s][info][gc,phases   ] GC(7)   Post Evacuate Collection Set: 0.7ms
[3.416s][info][gc,phases   ] GC(7)   Other: 0.2ms
[3.416s][info][gc,heap     ] GC(7) Eden regions: 167->0(1220)
[3.416s][info][gc,heap     ] GC(7) Survivor regions: 14->8(23)
[3.417s][info][gc,heap     ] GC(7) Old regions: 154->167
